question,option_a,option_b,option_c,option_d,correct_option
Which internet company began life as an online bookstore called &#039;Cadabra&#039;?,eBay,Overstock,Shopify,Amazon,d
"Before voicing Pearl in Steven Universe, Deedee Magno Hall was part of which American band?",The Weather Girls,The Pussycat Dolls,The Cheetah Girls,The Party,d
"On the NBC show Community, whose catch-phrase was &quot;Pop! Pop!&quot;?",Star Burns,Leonard,Senoir Chang,Magnitude,d
Who sculpted the statue of David?,Gian Lorenzo Bernini,Auguste Rodin,Donatello,Michelangelo,d
When did the last episode of &quot;Futurama&quot; air before returning in 2023?,"December 25, 2010","March 28, 1999","November 4, 2021","September 4, 2013",d
What was the first game in the &quot;Battlefield&quot; series?,Battlefield Vietnam,Battlefield 2,Battlefield 1,Battlefield 1942,d
How many people are in the U.S. House of Representatives?,260,415,50,435,d
What is the 15th letter of the Greek alphabet?,Sigma (&Sigma;),Pi (&Pi;),Nu (&Nu;),Omicron (&Omicron;),d
Which of these characters wasn&#039;t a villian in Club Penguin?,Herbert P. Bear,Tusk,Ultimate Proto-Bot 10000,The Director,d
"What Cartoon Network show aired its first episode on November 4th, 2013?",Regular Show,Adventure Time,The Amazing World of Gumball,Steven Universe,d
What is the real name of the Scout in &quot;Team Fortress 2&quot;?,Lance,Walter,John,Jeremy,d
What is the standard SI unit for temperature?,Fahrenheit,Celsius,Rankine,Kelvin,d
"In HTML, which non-standard tag used to be be used to make elements scroll across the viewport?",&lt;scroll&gt;&lt;/scroll&gt;,&lt;move&gt;&lt;/move&gt;,&lt;slide&gt;&lt;/slide&gt;,&lt;marquee&gt;&lt;/marquee&gt;,d
What is the number of keys on a standard Windows Keyboard?,64,94,76,104,d
The medical term for the belly button is which of the following?,Nevus,Nares,Paxillus,Umbilicus,d
"Which slogan did the fast food company, McDonald&#039;s, use before their &quot;I&#039;m Lovin&#039; It&quot; slogan?",Why Pay More!?,Have It Your Way,Making People Happy Through Food,We Love to See You Smile,d
Which of the following music bands is not from Finland?,Apocalyptica,Waltari,Lordi,Sabaton,d
The Korean War started in what year?,1945,1960,1912,1950,d
How many zombies need to be killed to get the &quot;Zombie Genocider&quot; achievement in Dead Rising (2006)?,"53,593","53,595","53,596","53,594",d
Which data structure does FILO apply to?,Queue,Heap,Tree,Stack,d
Which of the following rings from the DC Comics&#039; &quot;Lantern Corps&quot; are classified as Parasitic?,Green (Willpower),White (Life),Yellow (Fear),Indigo (Compassion),d
Which of these songs is not by Tatsuro Yamashita?,Merry-Go Round,Let&#039;s Dance Baby,Love Talkin&#039;,Lucky Lady Feel So Good ,d
What was the unofficial name for Germany between 1919 and 1933?,German Democratic Republic,Federal Republic of Germany,Oesterreich ,Weimar Republic,d
How many people can you recruit in the game Suikoden in a single playthrough?,108,93,96,107,d
What is the highest mountain in the world?,Mount Godwin Austen,Kangchenjunga,Annapurna,Mt. Everest,d
The now extinct species &quot;Thylacine&quot; was native to where?,"Baluchistan, Pakistan","Wallachia, Romania","Oregon, United States","Tasmania, Australia",d
What is the Linnean name of the domestic apple tree?,Malus americana,Pomus domestica,Appelus delectica,Malus pumila,d
"This movie contains the quote, &quot;I feel the need ... the need for speed!&quot;",Days of Thunder,The Color of Money,Cocktail,Top Gun,d
The United States Army Air Corps became the United States Air Force on what date?,"December 14, 1946","October 27, 1945","November 08, 1944","September 18, 1947",d
"Found in the Marvel Comics fictional universe, what is the name of the nearly indestructible metal that coats Wolverine&#039;s bones and claws?",Titanium,Vibranium,Carbonadium,Adamantium,d
What year did Dire Straits&#039;s Song &quot;Money for Nothing&quot; release?,1973,1980,1991,1985,d
"In Night In The Woods, where does Gregg work?",Ol&#039; Pickaxe,Video Outpost &quot;Too&quot;,Food Donkey,Snack Falcon,d
